[AI]: Session started
Move:Player:(76,28)->(76,29)
Turn:1
Level:1 Depth:50ft
Player:(76,29) HP:9/9
Monster:Giant Ant:(27,25) HP:15
Monster:Red Icky Thing:(51,29) HP:6
Monster:White Icky Thing:(76,5) HP:9
Monster:Clear Icky Thing:(61,8) HP:5
Monster:Giant Ant:(78,29) HP:13
Monster:Giant Snake:(77,30) HP:24
Item:Scroll labeled dolor sit:(80,31)
Item:Scroll labeled incul pafic:(39,18)
Item:Cloak:(21,26)
Item:Pickaxe:(26,14)
Item:Golden Potion:(61,2)
Item:Scroll labeled veniam quis:(75,31)
Item:Scroll labeled incul pafic:(62,9)
Item:Pair of Leather Boots:(75,11)
Item:Steel Shield:(38,5)
Item:Pair of Leather Gloves:(77,22)
Item:Golden Potion:(93,28)
Item:Flask of Oil:(48,10)
